;id;word;description;language;word2
1;1;schnappsidee;An idea so stupid the person must have thought of it while drunk; German;schnappsidee
2;2;forelsket;The euphoria you feel when you're first falling in love.; Norwegian;forelsket
3;3;treppenwitz;"Literal: ""staircase joke"", because the witty retort usually hits you in the stairwell on your way out"; German;treppenwitz
4;4;yugen;A profound, mysterious sense of the beauty of the universe…and the sad beauty of human suffering.; Japanese;yugen
5;5;weltschmerz;A feeling of melancholy and world-weariness; German;weltschmerz
6;6;bixomets;Shame on behalf of others; Catalan;bixomets
7;7;siwon;Usually meanng cool or cold, but when used in the context of dining, means the taste which achieves the ideal umami such that the food feels cool; Korean;siwon
8;8;schilderwald;"Jungle of traffic signs; a street so crowded with signs that you become lost"; German;schilderwald
9;9;kuidare;To eat yourself into backruptcy; Japanese;kuidare
10;10;schadenfreude;To be happy when things go wrong for someone else; German;schadenfreude
11;11;saper;"The ability to handle people and situations with charm, diplomacy and verve; cf. savior faire (French)."; Italian;saper vivere
12;12;eunoia;"A well-mind; beautiful thinking"; Greek;eunoia (εὔνοια)
13;13;njuta;to deeply enjoy, to profoundly appreciate.; Swedish;njuta
14;14;greng-jai;The feeling of not wanting to impose; Thai;greng-jai
15;15;anteayer;The day before yesteraday; Spanish;anteayer
16;16;yokomeshi;"Literal: ""meal eaten sideways""; the stress caused by speaking a foreign language"; Japanese;yokomeshi
17;17;mamihlapinatapai;Two people looking at each other each hoping the other will do what both desire but neither is willing to do.; Yaghan;mamihlapinatapai
18;18;pneúma;"Wind; breath; spirit."; Greek;pneúma (πνεῦμα)
19;19;vergüenza;Shame or embarrassment felt as a result of the actions of others; Spanish;vergüenza ajena
20;20;chutzpah;Insolence, cheek, audacity. Commonly used to describe someone when they have crossed the line of acceptable behavior; Yiddish;chutzpah
21;21;abquatulate;To leave without saying goodbye; English;abquatulate
22;22;beschaulich;"Quiet, pensive; living a simple life; pleasantly contemplative, unhurried in a fashion that inspires mental well-being."; German;beschaulich
23;23;załatwić;To make something which is very complicated somehow simpler in an entrepreneurial and cheeky way; Polish;załatwić
24;24;enxebre;Something pure and very authentic; Galician;enxebre
25;25;desenrascar;An informal word that means the act of figuring out things; Portuguese;desenrascar
26;26;empalagada;How you feel after having something too sweet; Spanish;empalagada
27;27;torschlusspanik;The fear that time is running out on achieving life goals; German;torschlusspanik
28;28;zapoi;2+ days of drunkenness usually involving a journey or waking up in an unexpected place; Russian;zapoi
29;29;lieko;A tree trunk that has fallen to the bottom of a lake; Finnish;lieko
30;30;gretchenfrage;A direct question with the intention of unveiling the underlying thoughts of the person being questioned; German;gretchenfrage
31;1;eudaimonia;The contented happy state you feel when you travel; Greek;eudaimonia
32;2;vprikusku;Drinking tea through pieces of sugar; Russian;vprikusku
33;3;milozvučan;Having a sweet and gentle voice; Croatian;milozvučan
34;4;amaeru;To seek affection through doing things like clinging or pleading; Japanese;amaeru
35;5;kæk;Spirited, bold, cheeky, cocky.; Danish;kæk
36;6;dadirri;Inner, deep listening and quiet, still awareness out of respect.; Ngangiwumirr;dadirri
37;7;débrouille;May be synonymous with resourceful, but it is more of a way of living by making do with little and improvising with what you have; French;débrouille
38;8;latah;Uncontrollable habit of saying embarrassing things; Indonesian;latah
39;9;toska;At its deepest and most painful, it is a sensation of great spiritual anguish, often without any specific cause.; Russian;toska (тоска)
40;10;layogenic;Good looking from a distance; Tagalog;layogenic
41;11;sielvartas;Literal translation as “soul tumbling” used as grief or resentment; Lithuanian;sielvartas
42;12;épater;To shock the middle classes; French;épater les bourgeois
43;13;capicua;A number that doesn't vary if the numbers are inverted. Also it can be called a palindrome, but the word capicua refers especially to the numbers; Catalan;capicua
44;15;handschuhschneeballwerfer;"A person who wears gloves to throw snowballs; a wimp"; German;handschuhschneeballwerfer
45;16;resfeber;"Travel fever/bug; the feeling of excitement and nervousness experienced by a traveller before undertaking a journey."; Swedish;resfeber
46;17;fensterln;To visit a girl who you fancy either by coming to her window or climbing through it to see her; German;fensterln
47;18;volta;During certain hours of the early evening, around dusk, everyone in the town who might feel like going for a walk takes a saunter or stroll up and down the main street; Greek;volta
48;19;cafuné;Tenderly running your fingers through your lover's hair; Portuguese;cafuné
49;20;hikikomori;Reclusive adolescents or adults who withdraw from social life, often seeking extreme degrees of isolation and confinement; Japanese;hikikomori
50;21;seigneur-terrasse;Someone who spends time, but not money, at a café; French;seigneur-terrasse
51;22;chrysalism;An amniotic tranquility of being indoors during a thunderstorm.; English;chrysalism
52;23;guanxi;An intimate connection between people which would benefit from the other in solving delicate problems or in achieving personal goals; Chinese;guanxi (关系)
53;24;nameer;Clear water.; Arabic;nameer (نمير)
54;25;weemoed;"Lit. sadness, woe (wee) courage, daring, mood (moed); soft mood; light melancholy; having the strength to overcome a feeling of sorrow (e.g., arising in relation to nostalgia)."; Dutch;weemoed
55;26;sankocha;The feeling of embarrassment due to receiving an inordinate or extravagent gift/favor, making you feel as though you need to return a favor that you can't; Kannada;sankocha
56;27;nadryv;"Literally means ""to tear or break"", but can also mean the inner tension of someone who is about to break"; Russian;nadryv (надрыв)
57;29;jhoota;Food eaten by someone and left in the plate; Hindi;jhoota
58;30;shinrin-yoku;bathing' in the forest (literally and/or metaphorically).; Japanese;shinrin-yoku (森林浴)
59;1;l’ecole;"Literally ""to eat motives""; describing a person that loves drama"; Yiddish;l’ecole stratim (לאכול סרטים)
60;2;mysa;"Can mean ""cosying up"" or ""to snuggle"", but in braoder sense, it means to ""have a nice and relaxed time"""; Swedish;mysa
61;3;didis;To search and pick up lice from one's own hair, usually when in bed at night; Indonesian;didis
62;4;vozdukh;"""Air"" but also ""the stack of spirit"". To breathe in is to ""take the spirit inside""."; Russian;vozdukh (воздух)
63;5;athazagoraphobia;The fear of forgetting, being forgotten or ignored, or being replaced; English;athazagoraphobia
64;6;parea;A group of friends who regularly gather together to share their experiences about life, their philosophies, values and ideas.; Greek;parea
65;7;filotimo;A friend of honour, but it also implies dignity, pride, sacrifice and respect; Greek;filotimo
66;9;tokimeki;"Excitement; Feeling of bliss or joy from a discrete experience"; Japanese;tokimeki ときめき
67;10;friolero;Someone that is very sensitive to cold. That friend that always feel cold.; Spanish;friolero
68;11;qì;Quality of character, disposition, style, charm, attractiveness, magnetism.; Chinese;qì zhì (氣质)
69;12;şırış;Mucus or the sweet sugary residue from fruits or other treats; Nogay;şırış
70;14;tretår;A second refill or “threefill” of coffee; Swedish;tretår
71;15;onsay;Pretend to love; Boro;onsay
72;16;ubuntu;"A quality that includes the essential human virtues; compassion and humanity."; Zulu;ubuntu
73;17;ser/estar;The verb 'to be' is two different verbs in Spanish. Ser is 'what you are' and estar is 'how you are/where you are'; Spanish;ser/estar
74;18;yuputka;A word made for walking in the woods at night, it’s the phantom sensation of something crawling on your skin; Ulwa;yuputka
75;19;kos;"Cosiness, warmth, intimacy; kose as a verb; koselig as an adjective."; Norwegian;kos
76;20;fachidiot;Someone who knows a great deal about a very narrow subject; German;fachidiot
77;21;pochemuchka;A person who asks a lot of questions; Russian;pochemuchka
78;22;biritululo;The act of comparing yams to settle a dispute; Kiriwani;biritululo
79;23;pretoogjes;"Lit. 'fun eyes'; the twinkling eyes of someone engaging in benign mischief or fun."; Dutch;pretoogjes
80;24;lus;"Desire, craving; greed; fancy, cupidity; inclination, tendency."; Afrikaans;lus
81;25;carpe;Make the most of the present moment or opportunity. Lit. sieze the day.; Latin;carpe diem
82;26;ômä;Collective helping; Bashkir;ômä (өмә)
83;27;fika;Drinking coffee along with eating something sweet; Swedish;fika
84;29;jibaku;The act of unintentionally or inadvertently demolishing your own argument in the process of defending your view; Japanese;jibaku
85;1;warmduscher;"Literal: 'A person that takes warm showers'; to describe those who have trouble stepping out of their comfort zone"; German;warmduscher
86;2;umami;"A category of taste in food (besides sweet, sour, salt, and bitter); savoriness"; Japanese;umami
87;4;badkruka;Someone who refuses to enter a body of water. Eg. Get in the lake you badkruka, or am I going to have to pull you in by your beard?; Swedish;badkruka
88;6;fahrvergnügen;The love of simply driving; German;fahrvergnügen
89;7;boketto;The act of gazing vacantly into the distance.; Japanese;boketto
90;8;desenrascanço;the ability to find improvised solutions to problems; Portuguese;desenrascanço
91;9;klexos;"the art of dwelling on the past; coined by John Koenig."; English;klexos
92;12;házisárkány;"Literally ""indoor dragon""; a nagging restless spouse"; Hungarian;házisárkány
93;14;shalom;"peace, harmony, wholeness, prosperity, welfare and tranquillity; used also as a greeting/parting salutation."; Hebrew;shalom (שָׁלוֹם)
94;15;sgriob;The itchiness of the upper lip just before taking a sip of whisky; Irish;sgriob
95;16;mangomoment;"""What can I do now for you, to make you happy?"""; Dutch;mangomoment
96;17;punya;"“Merit,” “virtue”, “sacred"", ""good karma"", among other things"; Sanskrit;punya
97;19;angushti;Someone with six fingers; Russian;angushti za'id
98;20;on;A feeling of moral indebtedness, relating to a favour or blessing given by others.; Japanese;on (恩)
99;21;queesting;Inviting a lover into your bed for some pillow talk; Dutch;queesting
