word,location,hits
spätzünder,Germany,100
spätzünder,Austria,80
spätzünder,Switzerland,40
spätzünder,Netherlands,2
spätzünder,Italy,1
spätzünder,United Kingdom,1
kenopsia,Chile,100
kenopsia,Spain,100
kenopsia,Colombia,93
kenopsia,Argentina,80
kenopsia,Philippines,78
kenopsia,Mexico,78
kenopsia,United Kingdom,66
kenopsia,Austria,64
kenopsia,United States,62
kenopsia,Canada,59
kenopsia,Australia,42
kenopsia,Indonesia,37
kenopsia,Brazil,31
kenopsia,India,28
kenopsia,Poland,21
kenopsia,Turkey,17
kenopsia,Germany,14
kenopsia,Italy,14
kenopsia,France,10
psithurism,Philippines,100
psithurism,Ireland,69
psithurism,Canada,65
psithurism,Australia,62
psithurism,United States,61
psithurism,United Kingdom,53
psithurism,Pakistan,52
psithurism,India,44
psithurism,Indonesia,27
psithurism,Germany,17
psithurism,Turkey,12
psithurism,France,9
mamihlapinatapai,Chile,100
mamihlapinatapai,Spain,37
mamihlapinatapai,Italy,37
mamihlapinatapai,Argentina,37
mamihlapinatapai,Colombia,32
mamihlapinatapai,Uruguay,25
mamihlapinatapai,Mexico,24
mamihlapinatapai,Philippines,24
mamihlapinatapai,Dominican Republic,23
mamihlapinatapai,Singapore,19
mamihlapinatapai,Peru,17
mamihlapinatapai,Russia,17
mamihlapinatapai,El Salvador,17
mamihlapinatapai,Ecuador,17
mamihlapinatapai,Bolivia,16
mamihlapinatapai,Costa Rica,16
mamihlapinatapai,Venezuela,16
mamihlapinatapai,Ukraine,14
mamihlapinatapai,Guatemala,14
mamihlapinatapai,South Africa,14
mamihlapinatapai,United States,13
mamihlapinatapai,Poland,13
mamihlapinatapai,Serbia,12
mamihlapinatapai,Vietnam,11
mamihlapinatapai,Australia,11
mamihlapinatapai,Canada,10
mamihlapinatapai,Turkey,10
mamihlapinatapai,United Kingdom,7
mamihlapinatapai,Netherlands,7
mamihlapinatapai,Germany,6
mamihlapinatapai,South Korea,5
mamihlapinatapai,India,5
mamihlapinatapai,Saudi Arabia,5
mamihlapinatapai,Brazil,4
mamihlapinatapai,France,4
mamihlapinatapai,Belgium,2
mamihlapinatapai,Indonesia,2
mamihlapinatapai,Iran,2
kos,Greece,100
kos,Malaysia,90
kos,Slovenia,83
kos,Indonesia,75
kos,Albania,74
kos,Kosovo,65
kos,Austria,64
kos,Czechia,52
kos,Netherlands,42
kos,Hungary,40
kos,Slovakia,36
kos,Iran,36
kos,Croatia,34
kos,Norway,28
kos,Poland,26
kos,Switzerland,25
kos,Germany,24
kos,Belgium,23
kos,Serbia,22
kos,South Africa,18
kos,United Kingdom,18
kos,Bosnia & Herzegovina,16
kos,Italy,15
kos,Sweden,15
kos,Philippines,14
kos,Denmark,13
kos,Finland,12
kos,Lithuania,11
kos,Ireland,9
kos,Turkey,9
kos,Israel,8
kos,United States,8
kos,Romania,7
kos,Canada,5
kos,Singapore,5
kos,Bulgaria,5
kos,France,4
kos,Egypt,4
kos,Australia,4
kos,Colombia,3
kos,Pakistan,3
kos,Mexico,3
kos,Spain,3
kos,Argentina,2
kos,Peru,2
kos,Chile,2
kos,Vietnam,2
kos,India,2
kos,Thailand,1
kos,Russia,1
kos,Brazil,1
kos,Japan,1
voorpret,Netherlands,100
voorpret,Norway,13
voorpret,India,1
voorpret,United States,1
voorpret,Spain,1
age-otori,United Kingdom,100
age-otori,United States,26
jugaad,India,100
jugaad,Pakistan,23
jugaad,Nepal,18
jugaad,United Arab Emirates,14
jugaad,Bolivia,11
jugaad,Singapore,9
jugaad,Bangladesh,8
jugaad,Canada,3
jugaad,France,3
jugaad,Switzerland,3
jugaad,Australia,3
jugaad,United Kingdom,2
jugaad,Belgium,2
jugaad,Saudi Arabia,2
jugaad,Netherlands,2
jugaad,United States,2
jugaad,Malaysia,2
jugaad,Italy,1
jugaad,Philippines,1
jugaad,Sweden,1
jugaad,Colombia,1
jugaad,Germany,1
jugaad,Mexico,1
jugaad,Spain,1
jugaad,Poland,1
jugaad,Argentina,1
jugaad,Indonesia,1
umami,Estonia,100
umami,Indonesia,43
umami,Denmark,36
umami,Sweden,35
umami,Netherlands,29
umami,Cyprus,29
umami,Croatia,24
umami,Norway,23
umami,Belgium,21
umami,United States,18
umami,Singapore,18
umami,Finland,18
umami,Switzerland,14
umami,Slovakia,13
umami,Germany,13
umami,Uruguay,12
umami,Canada,12
umami,Austria,12
umami,Poland,12
umami,Spain,11
umami,Australia,11
umami,Costa Rica,10
umami,Greece,10
umami,Italy,9
umami,New Zealand,9
umami,Hong Kong,9
umami,Czechia,9
umami,Malaysia,8
umami,Philippines,8
umami,Romania,8
umami,United Arab Emirates,8
umami,Hungary,7
umami,United Kingdom,7
umami,Colombia,7
umami,Mexico,7
umami,Ireland,7
umami,South Africa,7
umami,Peru,7
umami,Chile,7
umami,France,6
umami,Argentina,5
umami,Bulgaria,5
umami,Portugal,5
umami,Ecuador,5
umami,Brazil,4
umami,Venezuela,3
umami,Taiwan,3
umami,Japan,2
umami,India,2
umami,Turkey,2
umami,Thailand,1
umami,Vietnam,1
umami,Russia,1
schnapsidee,Austria,100
schnapsidee,Germany,68
schnapsidee,Switzerland,38
schnapsidee,United Kingdom,2
schnapsidee,France,1
schnapsidee,Australia,1
schnapsidee,Canada,1
schnapsidee,United States,1
schnapsidee,India,1
schnapsidee,Mexico,1
kenshō,Greece,100
kenshō,Poland,16
kenshō,United States,13
kenshō,United Kingdom,7
kenshō,Germany,7
sgriob,Italy,100
sgriob,United States,24
fahrvergnügen,United States,100
fahrvergnügen,Germany,67
fahrvergnügen,Canada,39
fahrvergnügen,Switzerland,33
fahrvergnügen,United Kingdom,15
engili,Turkey,100
engili,India,22
engili,United States,2
charmolypi,Chile,100
charmolypi,United States,51
waldeinsamkeit,Austria,100
waldeinsamkeit,Germany,98
waldeinsamkeit,Switzerland,68
waldeinsamkeit,Turkey,60
waldeinsamkeit,Italy,43
waldeinsamkeit,Canada,31
waldeinsamkeit,Spain,29
waldeinsamkeit,United States,24
waldeinsamkeit,United Kingdom,19
waldeinsamkeit,Australia,14
waldeinsamkeit,Netherlands,13
waldeinsamkeit,Brazil,11
waldeinsamkeit,France,9
waldeinsamkeit,Poland,9
waldeinsamkeit,India,6
waldeinsamkeit,Vietnam,2
hygge,Denmark,100
hygge,Finland,36
hygge,Norway,25
hygge,Czechia,15
hygge,United Kingdom,11
hygge,Germany,11
hygge,Ireland,11
hygge,Estonia,9
hygge,Poland,9
hygge,Belgium,9
hygge,Slovakia,9
hygge,Croatia,9
hygge,Sweden,9
hygge,New Zealand,9
hygge,Canada,6
hygge,Portugal,6
hygge,Switzerland,6
hygge,Hong Kong,6
hygge,United States,6
hygge,Singapore,6
hygge,Taiwan,6
hygge,Netherlands,6
hygge,Austria,6
hygge,Hungary,4
hygge,Australia,4
hygge,Lithuania,4
hygge,Slovenia,4
hygge,France,4
hygge,Spain,4
hygge,Greece,4
hygge,Italy,4
hygge,Romania,4
hygge,Argentina,2
hygge,South Africa,2
hygge,Malaysia,2
hygge,Philippines,2
hygge,United Arab Emirates,2
hygge,Russia,2
hygge,South Korea,2
hygge,Ukraine,2
hygge,Japan,2
hygge,Chile,2
hygge,Vietnam,2
hygge,Indonesia,2
hygge,Israel,2
hygge,Thailand,2
hygge,Brazil,2
hygge,Turkey,2
vabba,Sweden,100
vabba,Finland,1
bababa,Philippines,100
bababa,Azerbaijan,30
bababa,Thailand,25
bababa,Taiwan,23
bababa,Indonesia,21
bababa,Paraguay,20
bababa,Portugal,17
bababa,Hong Kong,17
bababa,Brazil,16
bababa,Spain,16
bababa,Morocco,15
bababa,Austria,15
bababa,Malaysia,14
bababa,Turkey,14
bababa,Sweden,14
bababa,Canada,13
bababa,Singapore,12
bababa,Algeria,11
bababa,Italy,11
bababa,Switzerland,11
bababa,France,11
bababa,Australia,10
bababa,Germany,10
bababa,Argentina,10
bababa,Uruguay,10
bababa,Mexico,9
bababa,Romania,9
bababa,Denmark,9
bababa,Ecuador,8
bababa,Venezuela,8
bababa,Nigeria,8
bababa,Chile,8
bababa,United States,7
bababa,Vietnam,7
bababa,Pakistan,7
bababa,Netherlands,7
bababa,Colombia,6
bababa,India,6
bababa,United Kingdom,6
bababa,Belgium,6
bababa,China,6
bababa,Poland,6
bababa,Peru,5
bababa,Japan,5
bababa,Greece,4
bababa,South Korea,3
bababa,Russia,3
bababa,Iran,3
bababa,Ukraine,2
empalagada,United States,100
dor,Brazil,100
dor,Angola,84
dor,Mozambique,76
dor,Portugal,42
dor,Moldova,25
dor,Romania,23
dor,Bangladesh,6
dor,Pakistan,5
dor,Spain,4
dor,France,3
dor,Belgium,3
dor,Ireland,3
dor,United States,3
dor,Canada,3
dor,United Kingdom,3
dor,Switzerland,2
dor,India,2
